province,week_in_year,adults,small_instars,total_captures,large_instars
BO,2021-17,,,,
BO,2021-18,27,0,27,0
BO,2021-19,20,0,20,0
BO,2021-20,35.73333333,0,35.73333333,0
BO,2021-21,28.26666667,0,28.26666667,0
BO,2021-22,27.4,0,27.4,0
BO,2021-23,27.6,0,27.6,0
BO,2021-24,12,0,12,0
BO,2021-25,16,0,16,0
BO,2021-26,65,129,194,0
BO,2021-27,43,209,261,9
BO,2021-28,24,115,169,30
BO,2021-29,44,83,189,62
BO,2021-30,104,89,264,71
BO,2021-31,85,106,260,69
BO,2021-32,106,51,207,50
BO,2021-33,53,98,178,27
BO,2021-34,415,380,876,81
BO,2021-35,345.5384615,317.6153846,749.9230769,86.76923077
BO,2021-36,252.4615385,239.3846154,615.0769231,123.2307692
BO,2021-37,376,197,714,141
BO,2021-38,602,124,953,227
BO,2021-39,645,21,791,125
BO,2021-40,806,25,915,84
BO,2021-41,773,7,828,48
BO,2021-42,827,0,861,34
BO,2021-43,600,0,612,12
BO,2021-44,400,0,405,5
BO,2021-45,200,0,200,0
BO,2021-46,50,0,50,0
BO,2021-47,10,0,10,0
BO,2021-48,0,0,0,0
BO,2021-49,0,0,0,0
BO,2021-50,0,0,0,0
BO,2021-51,0,0,0,0
BO,2021-52,0,0,0,0
BO,2023-1,0,0,0,0
BO,2023-2,0,0,0,0
BO,2023-3,0,0,0,0
BO,2023-4,0,0,0,0
BO,2023-5,0,0,0,0
BO,2023-6,0,0,0,0
BO,2023-7,0,0,0,0
BO,2023-8,0,0,0,0
BO,2023-9,0,0,0,0
BO,2023-10,0,0,0,0
BO,2023-11,0,0,0,0
BO,2023-12,0,0,0,0
BO,2023-13,0,0,0,0
BO,2023-14,5,0,5,0
BO,2023-15,15,0,15,0
BO,2023-16,20,0,20,0
BO,2023-17,39,0,39,0
BO,2023-18,55,0,55,0
BO,2023-19,55,0,55,0
BO,2023-20,70,0,70,0
BO,2023-21,65,0,65,0
BO,2023-22,57,0,57,0
BO,2023-23,74,0,74,0
BO,2023-24,71,5,76,0
BO,2023-25,53,152,206,1
BO,2023-26,34,277,325,14
BO,2023-27,26,165,220,29
BO,2023-28,28,213,243,2
BO,2023-29,105,170,329,54
BO,2023-30,160,87,286,39
BO,2023-31,200,139,359,20
BO,2023-32,205,115,353,33
BO,2023-33,241,194,467,32
BO,2023-34,190,148,384,46
BO,2023-35,265,116,434.5,53.5
BO,2023-36,410.8461538,15,501.3461538,75.5
BO,2023-37,614.1538462,6,642.1538462,22
BO,2023-38,510,3,538,25
BO,2023-39,568,0,568,0
BO,2023-40,456,0,459,3
BO,2023-41,227,0,231,4
BO,2023-42,100,0,102,2
BO,2023-43,50,0,51,1
BO,2023-44,10,0,10,0
BO,2023-45,0,0,0,0
BO,2023-46,0,0,0,0
BO,2023-47,0,0,0,0
BO,2023-48,0,0,0,0
BO,2023-49,0,0,0,0
BO,2023-50,0,0,0,0
BO,2023-51,0,0,0,0
BO,2023-52,0,0,0,0
BO,2024-1,0,0,0,0
BO,2024-2,0,0,0,0
BO,2024-3,0,0,0,0
BO,2024-4,0,0,0,0
BO,2024-5,0,0,0,0
BO,2024-6,0,0,0,0
BO,2024-7,0,0,0,0
BO,2024-8,0,0,0,0
BO,2024-9,0,0,0,0
BO,2024-10,0,0,0,0
BO,2024-11,0,0,0,0
BO,2024-12,0,0,0,0
BO,2024-13,0,0,0,0
BO,2024-14,0,0,0,0
BO,2024-15,0,0,0,0
BO,2024-16,5,0,5,0
BO,2024-17,9,0,9,0
BO,2024-18,22,0,22,0
BO,2024-19,45,0,45,0
BO,2024-20,126,0,126,0
BO,2024-21,74,0,74,0
BO,2024-22,24,0,24,0
BO,2024-23,18,15,33,0
BO,2024-24,21,20,41,0
BO,2024-25,25,16,41,0
BO,2024-26,17,23,41,1
BO,2024-27,11,68,92,13
BO,2024-28,94,24,123,5
BO,2024-29,128,21,153,4
BO,2024-30,167,25,200,8
BO,2024-31,123,39,164,2
BO,2024-32,99,53,164,12
BO,2024-33,70,58,141,13
BO,2024-34,102,60,199,37
BO,2024-35,98,63,201,40
BO,2024-36,155,53,278,70
BO,2024-37,343,15,403,45
BO,2024-38,569,10,614,35
BO,2024-39,438,1,460,21
BO,2024-40,698,0,714,16
BO,2024-41,615,0,623,8
BO,2024-42,2,0,2,0
FC,2021-17,,,,
FC,2021-18,,,,
FC,2021-19,22,0,22,0
FC,2021-20,14,0,14,0
FC,2021-21,15.36363636,0,15.36363636,0
FC,2021-22,9.707575758,0,9.707575758,0
FC,2021-23,21.92878788,5.526315789,27.45510367,0
FC,2021-24,20,5.526315789,25.52631579,0
FC,2021-25,12,3.947368421,15.94736842,0
FC,2021-26,14,45,59,0
FC,2021-27,12,116,128,0
FC,2021-28,6,19,26,1
FC,2021-29,21,44,68,3
FC,2021-30,29,96,131,6
FC,2021-31,19.85714286,137.4285714,162.1428571,4.857142857
FC,2021-32,41.14285714,241.5714286,289.8571429,7.142857143
FC,2021-33,62.75384615,123.5384615,194.6769231,8.384615385
FC,2021-34,210.2461538,274.4615385,500.3230769,15.61538462
FC,2021-35,106.5970696,201.4615385,337.5567766,29.4981685
FC,2021-36,131.974359,182.5384615,364.8717949,50.35897436
FC,2021-37,168.4285714,130,402.5714286,104.1428571
FC,2021-38,243,48,406,115
FC,2021-39,420.8888889,2,457.7777778,34.88888889
FC,2021-40,423.1111111,2,468.2222222,43.11111111
FC,2021-41,465,3,484,16
FC,2021-42,358,0,376,18
FC,2023-17,66,0,66,0
FC,2023-18,112,0,112,0
FC,2023-19,69,0,69,0
FC,2023-20,71,0,71,0
FC,2023-21,112,0,112,0
FC,2023-22,44,0,44,0
FC,2023-23,60,0,60,0
FC,2023-24,40.5,19.5,60,0
FC,2023-25,40.5,111.5,152,0
FC,2023-26,27,95,125,3
FC,2023-27,21,92,114,1
FC,2023-28,37.06666667,28.7,84.26666667,18.5
FC,2023-29,41.93333333,52.3,103.7333333,9.5
FC,2023-30,107.5,89.5,223,26
FC,2023-31,104.5,61.5,180,14
FC,2023-32,191,163,372,18
FC,2023-33,206,259,497,32
FC,2023-34,133,197,409,79
FC,2023-35,121,174,364,69
FC,2023-36,222.6666667,75.33333333,410,112
FC,2023-37,223.3333333,42.66666667,350,84
FC,2023-38,325.75,14,382.75,43
FC,2023-39,452.25,0,515.25,63
FC,2023-40,387,1,404,16
FC,2023-41,194,1,207,12
FC,2023-42,,,,
FC,2024-17,52,0,52,0
FC,2024-18,118,0,118,0
FC,2024-19,141,0,141,0
FC,2024-20,95,0,95,0
FC,2024-21,79,0,79,0
FC,2024-22,9,1,10,0
FC,2024-23,11,34,45,0
FC,2024-24,31,47,78,0
FC,2024-25,24,58,83,1
FC,2024-26,14,30,47,3
FC,2024-27,12,63,86,11
FC,2024-28,39,44,87,4
FC,2024-29,30,65,100,5
FC,2024-30,123,80,213,10
FC,2024-31,88,121,214,5
FC,2024-32,66,175,253,12
FC,2024-33,50.95918367,190.244898,253.2040816,12
FC,2024-34,100.4285714,103.4285714,231.8571429,28
FC,2024-35,83.42857143,78.42857143,166.8571429,5
FC,2024-36,72.42857143,87.42857143,205.8571429,46
FC,2024-37,198.4285714,61.42857143,321.8571429,62
FC,2024-38,264.4285714,5.428571429,328.8571429,59
FC,2024-39,190.2312925,0.612244898,202.8435374,12
FC,2024-40,200.3809524,1,203.3809524,2
FC,2024-41,267.2857143,0,268.2857143,1
FC,2024-42,60,0,60,0
FE,2021-17,,,,
FE,2021-18,,,,
FE,2021-19,31,0,31,0
FE,2021-20,42,0,42,0
FE,2021-21,14,0,14,0
FE,2021-22,10,0,10,0
FE,2021-23,6,0,6,0
FE,2021-24,1,0,1,0
FE,2021-25,1,0,1,0
FE,2021-26,1,0,1,0
FE,2021-27,9,0,9,0
FE,2021-28,4,9,25,12
FE,2021-29,10,0,15,5
FE,2021-30,41,20,66,5
FE,2021-31,212,38,262,12
FE,2021-32,251,62,337,24
FE,2021-33,193,105,333,35
FE,2021-34,235.9545455,221,496.4545455,39.5
FE,2021-35,158.0454545,285,492.8311688,49.78571429
FE,2021-36,217,158,484.7142857,109.7142857
FE,2021-37,484.9,59.5,666,121.6
FE,2021-38,849.1,38.5,937,49.4
FE,2021-39,788.5,10,825.5,27
FE,2021-40,1182.5,4,1199.5,13
FE,2021-41,1195,0,1227,32
FE,2021-42,495,0,497,2
FE,2023-17,26,0,26,0
FE,2023-18,192,0,192,0
FE,2023-19,150.4,0,150.4,0
FE,2023-20,243.3297619,0,243.3297619,0
FE,2023-21,240.7512987,0,240.7512987,0
FE,2023-22,208.301357,0.857142857,209.1584998,0
FE,2023-23,256.839011,1.2,258.039011,0
FE,2023-24,81.55,142.2,223.75,0
FE,2023-25,107.8,310.2,441,23
FE,2023-26,125.2103896,458.8155844,608.025974,24
FE,2023-27,76.6038961,314.4415584,419.0454545,28
FE,2023-28,74.85203393,225.7605552,366.0762483,65.46365915
FE,2023-29,130.3622518,291.5251591,526.4237517,104.5363409
FE,2023-30,169.0238095,114,325.0238095,42
FE,2023-31,189.33663,87.54065934,289.8860806,13.00879121
FE,2023-32,201.3645604,91.45934066,312.5901099,19.76620879
FE,2023-33,123.1068452,88.71428571,257.827381,46.00625
FE,2023-34,174.5970569,53.84126984,266.8445767,38.40625
FE,2023-35,215.5150463,46.44444444,276.3657407,14.40625
FE,2023-36,275.0144358,16.45384615,339.1822243,47.71394231
FE,2023-37,412.3170348,14.96043956,438.9697821,11.69230769
FE,2023-38,506.9388667,16.58571429,539.524581,16
FE,2023-39,552.9857143,3,556.9857143,1
FE,2023-40,287.6070175,2,289.6070175,0
FE,2023-41,62.19298246,0,63.19298246,1
FE,2023-42,,,,
FE,2024-17,5,0,5,0
FE,2024-18,6,0,6,0
FE,2024-19,58,0,58,0
FE,2024-20,25,0,25,0
FE,2024-21,66,0,66,0
FE,2024-22,11,0,11,0
FE,2024-23,22,13,35,0
FE,2024-24,24,0,24,0
FE,2024-25,17,59,76,0
FE,2024-26,16,8,24,0
FE,2024-27,27,9,36,0
FE,2024-28,61,25,96,10
FE,2024-29,54,16,87,17
FE,2024-30,100,39,148,9
FE,2024-31,91,9,101,1
FE,2024-32,40,14,60,6
FE,2024-33,27,33,90,30
FE,2024-34,21,25,87,41
FE,2024-35,15,47,86,24
FE,2024-36,53,58,147,36
FE,2024-37,121,20,171,30
FE,2024-38,126,8,145,11
FE,2024-39,142,0,148,6
FE,2024-40,131,0,132,1
FE,2024-41,122,0,123,1
FE,2024-42,,,,
MO,2021-17,,,,
MO,2021-18,15,0,15,0
MO,2021-19,58,0,58,0
MO,2021-20,36,0,36,0
MO,2021-21,13,0,13,0
MO,2021-22,24.28571429,0,24.28571429,0
MO,2021-23,23.71428571,1,24.71428571,0
MO,2021-24,16,0,16,0
MO,2021-25,28,2,30,0
MO,2021-26,31.47692308,26.33333333,61.07692308,3.266666667
MO,2021-27,16.52307692,28.66666667,49.92307692,4.733333333
MO,2021-28,38,210,296,48
MO,2021-29,45,136,230,49
MO,2021-30,143,224,450,83
MO,2021-31,283,277,624,64
MO,2021-32,174.5714286,165.7142857,390.4285714,50.14285714
MO,2021-33,225.4285714,439.4190476,754.5714286,89.72380952
MO,2021-34,208,618.8666667,864,37.13333333
MO,2021-35,160,1542.692308,1799.923077,97.23076923
MO,2021-36,112,669.3076923,953.0769231,171.7692308
MO,2021-37,347,973,1553,233
MO,2021-38,848,245,1304,211
MO,2021-39,864,31,1011,116
MO,2021-40,1052,5,1127,70
MO,2021-41,923,0,944,21
MO,2021-42,611,0,618,7
MO,2023-17,107,0,107,0
MO,2023-18,121,0,121,0
MO,2023-19,135,0,135,0
MO,2023-20,199.1333333,0,199.1333333,0
MO,2023-21,218.8666667,5,223.8666667,0
MO,2023-22,204,0,204,0
MO,2023-23,173,3,176,0
MO,2023-24,127,114,241,0
MO,2023-25,65,493,559,1
MO,2023-26,45,690,748,13
MO,2023-27,50,364,488,74
MO,2023-28,77,317,584,190
MO,2023-29,159,203,510,148
MO,2023-30,273,294,714,147
MO,2023-31,399,323,775,53
MO,2023-32,439,388,872,45
MO,2023-33,342,934,1371,95
MO,2023-34,375,993,1536,168
MO,2023-35,353,403,879,123
MO,2023-36,693,358,1321,270
MO,2023-37,899,113,1260,248
MO,2023-38,1182,59,1396,155
MO,2023-39,1295,7,1394,92
MO,2023-40,1085,2,1123,36
MO,2023-41,632,1,648,15
MO,2023-42,447,0,459,12
MO,2024-17,81,0,81,0
MO,2024-18,144,0,144,0
MO,2024-19,334,0,334,0
MO,2024-20,389,0,389,0
MO,2024-21,365,0,365,0
MO,2024-22,146,27,173,0
MO,2024-23,230,139,369,0
MO,2024-24,126,209,337,2
MO,2024-25,159,270,459,30
MO,2024-26,73,205,350,72
MO,2024-27,86,103,293,104
MO,2024-28,208,118,354,28
MO,2024-29,242,72,391,77
MO,2024-30,306.1730769,263.4615385,614.4807692,44.84615385
MO,2024-31,214.8269231,294.5384615,526.5192308,17.15384615
MO,2024-32,319,432,817,66
MO,2024-33,283,322,684,79
MO,2024-34,228,335,755,192
MO,2024-35,272,279,784,233
MO,2024-36,378,184,788,226
MO,2024-37,749,62,1021,210
MO,2024-38,1210,20,1352,122
MO,2024-39,1075,5,1116,36
MO,2024-40,1116,1,1137,20
MO,2024-41,774,1,785,10
MO,2024-42,547,0,550,3
PC,2021-17,,,,
PC,2021-18,,,,
PC,2021-19,,,,
PC,2021-20,,,,
PC,2021-21,,,,
PC,2021-22,,,,
PC,2021-23,,,,
PC,2021-24,,,,
PC,2021-25,,,,
PC,2021-26,,,,
PC,2021-27,,,,
PC,2021-28,,,,
PC,2021-29,,,,
PC,2021-30,,,,
PC,2021-31,,,,
PC,2021-32,,,,
PC,2021-33,,,,
PC,2021-34,,,,
PC,2021-35,,,,
PC,2021-36,,,,
PC,2021-37,,,,
PC,2021-38,,,,
PC,2021-39,,,,
PC,2021-40,,,,
PC,2021-41,,,,
PC,2021-42,,,,
PC,2023-17,,,,
PC,2023-18,7,0,7,0
PC,2023-19,43,0,43,0
PC,2023-20,21,0,21,0
PC,2023-21,7,0,7,0
PC,2023-22,13,0,13,0
PC,2023-23,27,0,27,0
PC,2023-24,2,0,2,0
PC,2023-25,7,6,13,0
PC,2023-26,5,0,5,0
PC,2023-27,2,1,3,0
PC,2023-28,1,0,1,0
PC,2023-29,0,0,0,0
PC,2023-30,3,1,4,0
PC,2023-31,14,7,24,3
PC,2023-32,48,15,70,7
PC,2023-33,31,9,45,5
PC,2023-34,20,7,33,6
PC,2023-35,34,12,53,7
PC,2023-36,52,9,86,25
PC,2023-37,145,2,158,11
PC,2023-38,99,0,113,14
PC,2023-39,157,0,160,3
PC,2023-40,109,0,110,1
PC,2023-41,71,0,71,0
PC,2023-42,19,0,19,0
PC,2024-17,11,0,11,0
PC,2024-18,37,0,37,0
PC,2024-19,30,0,30,0
PC,2024-20,69,0,69,0
PC,2024-21,24,0,24,0
PC,2024-22,10,0,10,0
PC,2024-23,8,9,17,0
PC,2024-24,2,1,3,0
PC,2024-25,3,6,10,1
PC,2024-26,0,16,20,4
PC,2024-27,0,5,6,1
PC,2024-28,9,30,59,20
PC,2024-29,2,22,34,10
PC,2024-30,6,26,33,1
PC,2024-31,8,21,30,1
PC,2024-32,5,29,38,4
PC,2024-33,8.571428571,53.71428571,64,1.714285714
PC,2024-34,6.428571429,40.28571429,48,1.285714286
PC,2024-35,12,22,35,1
PC,2024-36,38,23,75,14
PC,2024-37,57,14,88,17
PC,2024-38,121,0,130,9
PC,2024-39,55,1,58,2
PC,2024-40,61.77142857,0,62.37142857,0.6
PC,2024-41,43.22857143,0,43.62857143,0.4
PC,2024-42,,,,
PR,2021-17,,,,
PR,2021-18,,,,
PR,2021-19,,,,
PR,2021-20,,,,
PR,2021-21,,,,
PR,2021-22,,,,
PR,2021-23,,,,
PR,2021-24,,,,
PR,2021-25,,,,
PR,2021-26,,,,
PR,2021-27,,,,
PR,2021-28,,,,
PR,2021-29,,,,
PR,2021-30,,,,
PR,2021-31,,,,
PR,2021-32,,,,
PR,2021-33,,,,
PR,2021-34,,,,
PR,2021-35,,,,
PR,2021-36,,,,
PR,2021-37,,,,
PR,2021-38,,,,
PR,2021-39,,,,
PR,2021-40,,,,
PR,2021-41,,,,
PR,2021-42,,,,
PR,2023-17,1.714285714,0,1.714285714,0
PR,2023-18,1.285714286,0,1.285714286,0
PR,2023-19,1,0,1,0
PR,2023-20,0,0,0,0
PR,2023-21,0,0,0,0
PR,2023-22,4,0,4,0
PR,2023-23,5,0,5,0
PR,2023-24,2,4,6,0
PR,2023-25,0,0,0,0
PR,2023-26,4,1,7,2
PR,2023-27,2,0,3,1
PR,2023-28,1,3,5,1
PR,2023-29,1,2,3,0
PR,2023-30,0,0,0,0
PR,2023-31,1,1,2,0
PR,2023-32,5.714285714,12.57142857,18.28571429,0
PR,2023-33,4.285714286,9.428571429,13.71428571,0
PR,2023-34,14,9,25,2
PR,2023-35,14,5,27,8
PR,2023-36,42,5,67,20
PR,2023-37,45,0,54,9
PR,2023-38,214,0,226,12
PR,2023-39,250,3,257,4
PR,2023-40,167,0,168,1
PR,2023-41,12,0,12,0
PR,2023-42,32,0,32,0
PR,2024-17,3,0,3,0
PR,2024-18,6,0,6,0
PR,2024-19,2,0,2,0
PR,2024-20,1,0,1,0
PR,2024-21,1,0,1,0
PR,2024-22,1,0,1,0
PR,2024-23,1,0,1,0
PR,2024-24,2,3,5,0
PR,2024-25,0,2,2,0
PR,2024-26,0,0,0,0
PR,2024-27,1,0,2,1
PR,2024-28,0,2,2,0
PR,2024-29,0,0,0,0
PR,2024-30,3,3,6,0
PR,2024-31,1,0,1,0
PR,2024-32,6,0,6,0
PR,2024-33,2,18,22,2
PR,2024-34,4,3,8,1
PR,2024-35,3,3,14,8
PR,2024-36,80.28571429,1.571428571,89.85714286,8
PR,2024-37,82.71428571,1.428571429,93.14285714,9
PR,2024-38,193,0,219,26
PR,2024-39,157.5384615,0,161.5384615,4
PR,2024-40,212.4615385,0,214.4615385,2
PR,2024-41,160,0,164,4
PR,2024-42,91,0,91,0
RA,2021-17,,,,
RA,2021-18,46.86666667,0,46.86666667,0
RA,2021-19,59.13333333,0,59.13333333,0
RA,2021-20,105,0,105,0
RA,2021-21,73.63636364,0,73.63636364,0
RA,2021-22,86.63636364,0,86.63636364,0
RA,2021-23,44.33679654,0,44.33679654,0
RA,2021-24,36.39047619,0,36.39047619,0
RA,2021-25,39,5,44,0
RA,2021-26,62,125,198,11
RA,2021-27,230.952381,598.952381,897.9047619,68
RA,2021-28,130.952381,515.2380952,762.3333333,116.1428571
RA,2021-29,86.68964369,332.6696637,525.1465201,105.7872128
RA,2021-30,260.4055944,221.8541459,604.7582418,122.4985015
RA,2021-31,293,302.2857143,777.3571429,182.0714286
RA,2021-32,302.1,254.8818182,639.6636364,82.68181818
RA,2021-33,336.2428571,447.9467532,832.7220779,48.53246753
RA,2021-34,575.2571429,963.1714286,1629.247619,90.81904762
RA,2021-35,372.694149,995.0445045,1535.706153,167.9674992
RA,2021-36,330.0149419,1124.864586,1761.11809,306.2385614
RA,2021-37,722.6909091,834.0909091,2025.042424,468.2606061
RA,2021-38,972.9204129,312.2,1710.392274,425.2718615
RA,2021-39,1394.63592,44.8,1639.243312,199.8073926
RA,2021-40,1093.243667,15,1233.364413,125.1207459
RA,2021-41,1291.059271,1,1344.539944,52.48067227
RA,2021-42,1452.140729,0,1485.460056,33.31932773
RA,2021-42,1000,0,1012,12
RA,2021-43,800,0,805,5
RA,2021-44,600,0,602,2
RA,2021-45,200,0,200,0
RA,2021-46,50,0,50,0
RA,2021-47,15,0,15,0
RA,2021-48,0,0,0,0
RA,2021-49,0,0,0,0
RA,2021-50,0,0,0,0
RA,2021-51,0,0,0,0
RA,2021-52,0,0,0,0
RA,2023-1,0,0,0,0
RA,2023-2,0,0,0,0
RA,2023-3,0,0,0,0
RA,2023-4,0,0,0,0
RA,2023-5,0,0,0,0
RA,2023-6,0,0,0,0
RA,2023-7,0,0,0,0
RA,2023-8,0,0,0,0
RA,2023-9,0,0,0,0
RA,2023-10,0,0,0,0
RA,2023-11,0,0,0,0
RA,2023-12,0,0,0,0
RA,2023-13,0,0,0,0
RA,2023-14,0,0,0,0
RA,2023-15,0,0,0,0
RA,2023-16,0,0,0,0
RA,2023-17,0,0,0,0
RA,2023-18,0,0,0,0
RA,2023-19,3,0,3,0
RA,2023-20,10,0,10,0
RA,2023-21,20,0,20,0
RA,2023-22,50,0,50,0
RA,2023-17,101,0,101,0
RA,2023-18,144.1111111,0,144.1111111,0
RA,2023-19,208.3888889,0,208.3888889,0
RA,2023-20,198.5714286,0,198.5714286,0
RA,2023-21,360.8904762,0,360.8904762,0
RA,2023-22,402.0380952,0,402.0380952,0
RA,2023-23,288.7857143,4,292.7857143,0
RA,2023-24,251.8142857,51.66666667,303.4809524,0
RA,2023-25,229.4,699.0666667,935.4666667,7
RA,2023-26,180.2307692,698.4205128,907.6512821,29
RA,2023-27,111.1978022,470.2747253,687.4725275,106
RA,2023-28,162.5714286,239.5714286,561.1428571,159
RA,2023-29,238.6666667,372.8666667,785.5333333,174
RA,2023-30,410.3333333,383.6333333,966.9666667,173
RA,2023-31,487.4594595,494.8783784,1084.824324,102.4864865
RA,2023-32,520.8933769,630.4603505,1236.01782,84.66409266
RA,2023-33,623.6626077,1138.207603,1924.248589,162.3783784
RA,2023-34,566.8494208,920.5482625,1781.490347,294.0926641
RA,2023-35,418.9403299,578.3144963,1336.542296,339.2874693
RA,2023-36,584.1515152,526.7939394,1475.363636,364.4181818
RA,2023-37,869.3160173,259.2060606,1414.94026,286.4181818
RA,2023-38,1042.087273,124.0909091,1335.432727,169.2545455
RA,2023-39,1268.471111,31,1385.026667,85.55555556
RA,2023-40,1178.693333,14,1246.36,53.66666667
RA,2023-41,679.4755556,6,716.2533333,30.77777778
RA,2023-42,500,2,517,15
RA,2023-43,300,0,310,10
RA,2023-44,200,0,205,5
RA,2023-45,20,0,20,0
RA,2023-46,10,0,10,0
RA,2023-47,0,0,0,0
RA,2023-48,0,0,0,0
RA,2023-49,0,0,0,0
RA,2023-50,0,0,0,0
RA,2023-51,0,0,0,0
RA,2023-52,0,0,0,0
RA,2024-1,0,0,0,0
RA,2024-2,0,0,0,0
RA,2024-3,0,0,0,0
RA,2024-4,0,0,0,0
RA,2024-5,0,0,0,0
RA,2024-6,0,0,0,0
RA,2024-7,0,0,0,0
RA,2024-8,0,0,0,0
RA,2024-9,0,0,0,0
RA,2024-10,0,0,0,0
RA,2024-11,0,0,0,0
RA,2024-12,0,0,0,0
RA,2024-13,0,0,0,0
RA,2024-14,0,0,0,0
RA,2024-15,5,0,5,0
RA,2024-16,10,0,10,0
RA,2024-17,15,0,15,0
RA,2024-17,23.83333333,0,23.83333333,0
RA,2024-18,43.90952381,0,43.90952381,0
RA,2024-19,88.71578947,0,88.71578947,0
RA,2024-20,101.2638459,0,101.2638459,0
RA,2024-21,22.42036464,0,22.42036464,0
RA,2024-22,57.81964286,2.6,60.41964286,0
RA,2024-23,27.30640756,15.86218487,43.52153361,0.352941176
RA,2024-24,28.93277311,48.42016807,77.76470588,0.411764706
RA,2024-25,14.25696594,19.10216718,33.91021672,0.551083591
RA,2024-26,13.36842105,22.14860681,44.88544892,9.368421053
RA,2024-27,28.31578947,14.86687307,50.49845201,7.315789474
RA,2024-28,34,20,60,6
RA,2024-29,82,25,114,7
RA,2024-30,91.61477411,58,164.7576313,15.14285714
RA,2024-31,98.27411477,55.23076923,164.3620269,10.85714286
RA,2024-32,130.6861111,79.5025641,235.7410562,25.55238095
RA,2024-33,143.7107143,157.2666667,341.2821429,40.3047619
RA,2024-34,164.9183673,187,425.9183673,74
RA,2024-35,142.7237664,198.2081448,398.5110967,57.57918552
RA,2024-36,184.2762336,170.3632838,444.3460461,89.70652877
RA,2024-37,383.9566904,199.4285714,720.3600517,136.9747899
RA,2024-38,337.1828054,25,407.5105365,45.32773109
RA,2024-39,436.9436211,2,509.1346066,70.19098549
RA,2024-40,528.1413729,0,549.5050093,21.36363636
RA,2024-41,411.8,1,416.8,4
RA,2024-42,75.77142857,0,78.77142857,3
RE,2021-17,,,,
RE,2021-18,,,,
RE,2021-19,9,0,9,0
RE,2021-20,12,0,12,0
RE,2021-21,6,0,6,0
RE,2021-22,15,0,15,0
RE,2021-23,7,0,7,0
RE,2021-24,10,0,10,0
RE,2021-25,4,0,4,0
RE,2021-26,7,0,7,0
RE,2021-27,6,5,11,0
RE,2021-28,3,3,6,0
RE,2021-29,26,3,69,40
RE,2021-30,25,0,40,15
RE,2021-31,10,0,18,8
RE,2021-32,44,0,85,41
RE,2021-33,60.77272727,68.81818182,142.9545455,13.36363636
RE,2021-34,46.22727273,71.18181818,125.0454545,7.636363636
RE,2021-35,33.58823529,30.76470588,66.94117647,2.588235294
RE,2021-36,25.41176471,24.23529412,51.05882353,1.411764706
RE,2021-37,85,77,248,86
RE,2021-38,204,23,271,44
RE,2021-39,210,3,249,36
RE,2021-40,266,0,297,31
RE,2021-41,72.8,0,72.8,0
RE,2021-42,83.2,0,83.2,0
RE,2023-17,21,0,21,0
RE,2023-18,8,0,8,0
RE,2023-19,34,0,34,0
RE,2023-20,12,0,12,0
RE,2023-21,60,0,60,0
RE,2023-22,49,0,49,0
RE,2023-23,46,0,46,0
RE,2023-24,36,8,44,0
RE,2023-25,29,56,92,7
RE,2023-26,26,88,131,17
RE,2023-27,7,33,56,16
RE,2023-28,24,25,94,45
RE,2023-29,39,19,105,47
RE,2023-30,78,21,139,40
RE,2023-31,94,19,136,23
RE,2023-32,119,65,238,54
RE,2023-33,118,111,271,42
RE,2023-34,93,148,304,63
RE,2023-35,87,43,220,90
RE,2023-36,227,25,351,99
RE,2023-37,218,15,307,74
RE,2023-38,288,6,360,66
RE,2023-39,322,0,340,18
RE,2023-40,340,0,344,4
RE,2023-41,195,0,199,4
RE,2023-42,76,0,76,0
RE,2024-17,2,0,2,0
RE,2024-18,10,0,10,0
RE,2024-19,13,0,13,0
RE,2024-20,48,0,48,0
RE,2024-21,40,0,40,0
RE,2024-22,37,0,37,0
RE,2024-23,17,2,19,0
RE,2024-24,10,2,12,0
RE,2024-25,13,7,22,2
RE,2024-26,9,3,14,2
RE,2024-27,2,1,4,1
RE,2024-28,3,2,5,0
RE,2024-29,9,6,16,1
RE,2024-30,5,15,20,0
RE,2024-31,8,18,29,3
RE,2024-32,5,4,19,10
RE,2024-33,6,9,20,5
RE,2024-34,5,35,52,12
RE,2024-35,12,17,50,21
RE,2024-36,42,20,82,20
RE,2024-37,96,18,136,22
RE,2024-38,170,2,198,26
RE,2024-39,136,0,149,13
RE,2024-40,179,2,193,12
RE,2024-41,134,0,134,0
RE,2024-42,,,,
